frame_id,elephant_id,posture_class,x1,y1,x2,y2,move_dx,move_dy,trunk_angle,ear_freq,tail_freq,behaviour_label,conflict_risk,alertness_label
0,1,9,359,112,755,696,0.45669831924818616,0.8810913478625733,233,0.6255652244473637,0.7870492659194377,Aggressive,Low,Calm
1,1,7,253,271,829,536,0.8167346858923041,0.6487231880390602,8,0.4869815941058788,0.8250358903476659,Calm,Medium,Aggressive
2,1,15,238,277,705,551,0.7491014089493883,0.7022841846587934,258,0.8299884204891345,0.8954223730016134,Aggressive,Medium,Aggressive
3,1,12,140,285,570,907,0.23582459955049428,0.6557358848501814,40,0.24031683689390126,0.11099200571408208,Alert,Low,Aggressive
4,1,1,438,119,701,596,0.07316813835187874,0.41137936001236686,312,0.6692833141582388,0.9868873065974498,Alert,Medium,Aggressive
5,1,5,208,487,668,860,0.5939162194069239,0.5029500210135158,228,0.29118996083766613,0.5059649597009467,Calm,Medium,Calm
6,1,0,6,255,699,689,0.008256431829905764,0.3800375197457476,161,0.21990483387438065,0.9686601187797217,Calm,Low,Calm
7,1,0,475,138,951,535,0.7122462238844988,0.7094529692265484,106,0.21704322879277427,0.690260755928356,Aggressive,Low,Aggressive
8,1,6,245,381,645,536,0.5948847025584475,0.9143710787797094,174,0.8486495592832879,0.1532821882917632,Aggressive,High,Aggressive
9,1,15,153,16,881,657,0.5895676611183971,0.2594384398503573,160,0.12921855878475874,0.4441571728937531,Calm,Low,Aggressive
10,1,1,326,129,574,934,0.11648846717171146,0.6806325490583025,133,0.35520045387592847,0.8417423526554421,Aggressive,High,Calm
11,1,11,2,352,815,835,0.6914643647996097,0.4689085678987689,38,0.010693951160706483,0.21588959427095,Alert,High,Calm
12,1,0,438,242,606,746,0.5303415236071188,0.6183110623385719,262,0.9935918129488349,0.48668296540609435,Calm,Low,Calm
13,1,9,470,305,677,897,0.5691185037769193,0.9036022150101454,117,0.8654046558235137,0.7553339597073023,Aggressive,High,Calm
14,1,8,208,44,582,717,0.162214137048453,0.2741318703808254,250,0.7356487599873754,0.20379637713143117,Calm,Low,Calm
15,1,4,250,270,659,795,0.3812986375966738,0.0632467146227843,174,0.25709100874854207,0.9650577788064594,Calm,Low,Calm
16,1,6,27,266,798,914,0.9499604267932092,0.04876783554512487,148,0.7073410915728677,0.5898587230080515,Alert,Low,Calm
17,1,7,238,435,976,865,0.15385235859400037,0.5036377879541878,348,0.5886089573061767,0.45481750253224673,Alert,High,Calm
18,1,6,197,216,549,514,0.3172688376423157,0.6484652512565223,189,0.4724220303187139,0.9218899431186881,Calm,High,Calm
19,1,1,363,399,630,603,0.7340017655332859,0.556051899775765,114,0.04140444670696286,0.8994621099934559,Alert,High,Aggressive
20,1,10,92,234,565,993,0.19506650859268226,0.2830595654336888,339,0.7408479410124318,0.028731711525421866,Calm,Medium,Calm
21,1,7,112,34,874,784,0.34720021283100777,0.9486689091067623,251,0.9437339319815923,0.7353368482645725,Alert,Medium,Calm
22,1,6,6,410,945,699,0.6534417682018191,0.7954196644452383,5,0.3617325923603736,0.004065885129187152,Aggressive,High,Calm
23,1,3,258,295,710,703,0.771441664342564,0.9478340341068155,62,0.6727826273024704,0.7101756826537579,Aggressive,Low,Aggressive
24,1,6,483,483,664,854,0.4288036727680751,0.9227191427288928,131,0.457224456256897,0.4371175131122179,Aggressive,Medium,Calm
25,1,15,119,24,664,965,0.3749881512172496,0.38918263506972706,220,0.1857532692815742,0.7129536430843105,Alert,High,Aggressive
26,1,10,347,341,652,715,0.10457561001035676,0.9350807536817439,106,0.6146901415910548,0.44874051545379867,Calm,High,Calm
27,1,10,454,188,996,628,0.4816604408757573,0.12364461928830639,116,0.6904447164456579,0.5591796033212044,Alert,High,Calm
28,1,3,334,56,922,842,0.036656883027447185,0.27571048940319853,259,0.9986322142431506,0.07403141688894144,Alert,Medium,Calm
29,1,9,404,53,917,856,0.4505498908571228,0.6033414489341521,44,0.35094531274923035,0.23498539364490556,Alert,Medium,Aggressive
30,1,3,238,440,563,903,0.36366793787039897,0.2595772426998808,299,0.736669973487681,0.6801781550991033,Calm,Medium,Aggressive
31,1,12,383,175,917,507,0.6684181432315854,0.29245288003227476,203,0.48859843325022123,0.9355110757971943,Calm,Medium,Aggressive
32,1,9,471,256,890,755,0.286908627163627,0.783039728784863,136,0.09492979923329992,0.026718858742002305,Alert,High,Aggressive
33,1,1,62,281,770,747,0.6984671098433569,0.9319778127988991,268,0.6923474901567127,0.06507332047206738,Aggressive,Medium,Calm
34,1,14,273,138,719,634,0.4648377782919937,0.6889680717285575,244,0.2580422009137098,0.894449658529888,Aggressive,Low,Calm
35,1,9,225,328,813,713,0.8762085004240334,0.29897423075400353,163,0.17203376149278293,0.8305122932424507,Alert,Low,Calm
36,1,12,215,195,861,532,0.44139801450205485,0.004791546120337387,41,0.6775294216297408,0.5180748455098119,Calm,Medium,Calm
37,1,0,125,378,750,941,0.9196579880744529,0.05290505354402164,74,0.030606475787304688,0.24931035614889785,Aggressive,Medium,Calm
38,1,10,58,121,577,546,0.09854372854377713,0.4072767338085823,112,0.4899516708137158,0.8644496285241937,Aggressive,Medium,Aggressive
39,1,6,28,377,903,849,0.028827989145780553,0.6495016453625897,193,0.5127565740976613,0.9246561912159649,Aggressive,Low,Aggressive
40,1,15,7,95,538,655,0.3795619930692612,0.5200815272243616,343,0.2785118170855809,0.6244565729487981,Alert,Low,Calm
41,1,9,228,48,585,765,0.10323382742333853,0.08617714424416145,181,0.8717387806380961,0.9279995693275903,Calm,Low,Aggressive
42,1,2,266,223,618,680,0.36458296255829714,0.1376200152946846,261,0.6742251272052507,0.5212439945133066,Alert,Low,Aggressive
43,1,7,66,469,773,959,0.8469754023459237,0.6597417114699765,352,0.8812174463470276,0.5297973129454928,Calm,Low,Aggressive
44,1,0,400,475,962,563,0.16029426802527236,0.4094299105188639,70,0.727758514488635,0.11039436167822503,Calm,High,Aggressive
45,1,11,451,166,570,898,0.533513730149315,0.5046982855438982,225,0.2203636547103458,0.04056314841314623,Aggressive,Medium,Aggressive
46,1,3,75,467,662,937,0.5027922725179929,0.5870240596411926,75,0.040013862598139216,0.15869836754376276,Aggressive,Medium,Aggressive
